id,greenspark_id,name,url,category,brand,part_type,created_at,updated_at,price_retail,price_green5,quantity,last_parsed
1016,245856,Шлейф для iPhone 11 Pro Max + кнопка включения + микрофон + вспышка (100% components) (0),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_max_knopka_vklyucheniya_mikrofon_vspyshka_100_components_0.html,,Apple,Шлейф,2025-12-08 19:21:22,2025-12-08 19:31:03,480.0,399.0,none,2025-12-08 19:31:03
882,243490,Шлейф для iPhone 11 Pro Max + кнопка громкости (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_max_knopka_gromkosti_100_components.html,,Apple,Шлейф,2025-12-08 19:20:56,2025-12-08 19:32:19,200.0,143.0,none,2025-12-08 19:32:19
1007,229470,Шлейф для iPhone 11 Pro Max + разъем зарядки + микрофон (черный) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_max_razem_zaryadki_mikrofon_chernyy_100_components.html,,Apple,Шлейф,2025-12-08 19:21:20,2025-12-08 19:31:01,3190.0,2841.0,none,2025-12-08 19:31:01
823,273097,Шлейф для iPhone 11 Pro Max + разъем зарядки + микрофон (черный) 100%,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_max_razem_zaryadki_mikrofon_chernyy_100.html,,Apple,Шлейф,2025-12-08 19:20:44,2025-12-08 19:32:09,3880.0,3568.0,none,2025-12-08 19:32:09
798,243489,Шлейф для iPhone 11 Pro Max + светочувствительный элемент + микрофон (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_max_svetochuvstvitelnyy_element_mikrofon_100_components.html,,Apple,Шлейф,2025-12-08 19:20:38,2025-12-08 19:32:03,1250.0,1045.0,few,2025-12-08 19:32:03
1015,243621,Шлейф для iPhone 11 Pro Max беспроводная зарядка (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_max_besprovodnaya_zaryadka_100_components.html,,Apple,Шлейф,2025-12-08 19:21:22,2025-12-08 19:32:45,140.0,95.0,none,2025-12-08 19:32:45
1008,243491,Шлейф для iPhone 11 Pro беспроводная зарядка (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_besprovodnaya_zaryadka_100_components.html,,Apple,Шлейф,2025-12-08 19:21:20,2025-12-08 19:32:43,140.0,95.0,few,2025-12-08 19:32:43
870,245858,Шлейф для iPhone 11 беспроводная зарядка (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_besprovodnaya_zaryadka_100_components.html,,Apple,Шлейф,2025-12-08 19:20:54,2025-12-08 19:30:35,450.0,366.0,none,2025-12-08 19:30:35
843,245855,Шлейф для iPhone 11 на разъем SIM (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_na_razem_sim_100_components.html,,Apple,Шлейф,2025-12-08 19:20:48,2025-12-08 19:30:29,120.0,83.0,few,2025-12-08 19:30:29
862,256297,Шлейф для iPhone 12 + вспышка,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_vspyshka.html,,Apple,Шлейф,2025-12-08 19:20:52,2025-12-08 19:32:15,300.0,261.0,none,2025-12-08 19:32:15
833,256298,Шлейф для iPhone 12 Pro + вспышка,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_vspyshka.html,,Apple,Шлейф,2025-12-08 19:20:46,2025-12-08 19:32:11,500.0,380.0,none,2025-12-08 19:32:11
997,131270,Шлейф для iPhone 12 Pro Max + антенна Bluetooth,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_antenna_bluetooth.html,,Apple,Шлейф,2025-12-08 19:21:18,2025-12-08 19:32:41,200.0,143.0,none,2025-12-08 19:32:41
1005,131311,Шлейф для iPhone 12 Pro Max + антенна WiFi,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_antenna_wifi.html,,Apple,Шлейф,2025-12-08 19:21:20,2025-12-08 19:32:43,600.0,523.0,none,2025-12-08 19:32:43
875,256299,Шлейф для iPhone 12 Pro Max + вспышка,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_vspyshka.html,,Apple,Шлейф,2025-12-08 19:20:54,2025-12-08 19:32:17,410.0,373.0,none,2025-12-08 19:32:17
1000,131290,Шлейф для iPhone 12 Pro Max + кнопка вкл + кнопки громкости,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_knopka_vkl_knopki_gromkosti.html,,Apple,Шлейф,2025-12-08 19:21:20,2025-12-08 19:32:41,1400.0,95.0,none,2025-12-08 19:32:41
1001,131291,Шлейф для iPhone 12 Pro Max + кнопка вкл + кнопки громкости (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_knopka_vkl_knopki_gromkosti_100_components.html,,Apple,Шлейф,2025-12-08 19:21:20,2025-12-08 19:32:41,500.0,428.0,none,2025-12-08 19:32:41
877,173552,Шлейф для iPhone 12 Pro Max + разъем зарядки + микрофон (черный),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_razem_zaryadki_mikrofon_chernyy.html,,Apple,Шлейф,2025-12-08 19:20:54,2025-12-08 19:30:35,400.0,333.0,none,2025-12-08 19:30:35
797,197922,Шлейф для iPhone 12 Pro Max + разъем зарядки + микрофон (черный) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_razem_zaryadki_mikrofon_chernyy_100_components.html,,Apple,Шлейф,2025-12-08 19:20:38,2025-12-08 19:30:19,1350.0,1140.0,none,2025-12-08 19:30:19
782,273098,Шлейф для iPhone 12 Pro Max + разъем зарядки + микрофон (черный) 100%,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_razem_zaryadki_mikrofon_chernyy_100.html,,Apple,Шлейф,2025-12-08 19:20:36,2025-12-08 19:32:01,2150.0,1805.0,few,2025-12-08 19:32:01
1002,131294,Шлейф для iPhone 12 Pro Max + светочувствительный элемент + микрофон + динамик,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_12_pro_max_svetochuvstvitelnyy_element_mikrofon_dinamik.html,,Apple,Шлейф,2025-12-08 19:21:20,2025-12-08 19:32:43,1200.0,1045.0,none,2025-12-08 19:32:43
